,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
9826,36,4,1,2,0,539,0,0,0,11,1,176,1,-1,0,3,no
6554,36,4,1,2,0,396,0,0,0,13,1,67,5,-1,0,3,no
5315,31,6,2,2,0,84,0,0,0,6,1,157,4,-1,0,3,no
7185,52,1,1,1,0,2276,0,0,2,20,6,83,3,-1,0,3,no
10057,51,1,1,1,0,984,1,0,1,7,0,353,4,-1,0,3,no
9341,60,5,1,1,0,7,0,1,0,18,1,87,5,-1,0,3,no
7090,36,7,1,1,0,335,1,0,2,9,8,339,2,-1,0,3,no
4836,40,10,2,2,0,7968,0,0,0,2,7,263,2,180,2,2,yes
3945,84,5,1,2,0,4761,0,0,1,9,11,1405,1,92,3,0,yes
7292,29,7,2,1,0,20,1,0,2,15,8,431,1,-1,0,3,no
10278,37,1,1,1,0,0,1,0,0,2,0,473,1,-1,0,3,no
6075,33,9,1,1,0,0,0,0,0,13,1,78,2,-1,0,3,no
5830,33,1,1,1,0,263,1,0,2,21,8,206,3,-1,0,3,no
6463,73,5,1,0,0,542,0,0,1,29,0,107,5,-1,0,3,no
10844,38,9,1,1,0,183,1,0,0,16,0,256,3,339,2,0,no
451,25,7,2,1,0,333,0,1,0,15,5,1056,2,-1,0,3,yes
7836,37,7,2,1,0,50,0,0,0,19,9,244,1,154,8,1,no
6101,28,4,2,2,0,882,0,1,0,8,5,107,2,-1,0,3,no
3299,26,0,2,2,0,760,1,0,0,4,7,456,2,281,5,2,yes
991,36,0,1,1,0,1207,1,0,0,19,9,1792,2,-1,0,3,yes
1660,37,9,1,1,0,1458,0,0,0,30,0,281,1,-1,0,3,yes
664,50,9,1,2,0,2313,0,0,0,5,1,553,1,-1,0,3,yes
3439,40,9,1,2,0,206,0,0,0,23,0,499,6,185,4,2,yes
8174,32,9,2,2,0,13711,1,0,0,14,8,638,1,175,3,2,no
8769,36,4,1,2,0,3770,1,0,0,31,5,150,4,-1,0,3,no
8405,47,9,1,1,0,-9,0,0,0,14,1,457,2,-1,0,3,no
8040,39,7,2,1,0,26,1,0,0,14,8,166,3,-1,0,3,no
4026,22,0,2,1,0,372,0,0,0,6,10,218,1,-1,0,3,yes
10952,32,9,1,1,0,2556,0,0,0,6,1,269,3,-1,0,3,no
7635,45,4,1,3,0,9051,1,0,2,19,8,124,63,-1,0,3,no
4496,46,7,1,1,0,2948,0,0,0,21,9,893,1,-1,0,3,yes
8794,56,4,1,2,0,2551,1,0,0,17,9,150,2,-1,0,3,no
5919,51,3,1,0,0,289,0,0,2,14,8,97,5,-1,0,3,no
6300,49,1,0,1,0,23,0,0,0,17,9,221,2,-1,0,3,no
1837,51,0,1,1,0,3025,0,0,0,7,8,476,1,352,1,1,yes
764,47,9,1,1,0,568,1,0,0,12,1,1613,1,-1,0,3,yes
7144,37,7,2,1,0,54,1,0,0,10,5,118,1,-1,0,3,no
3637,37,6,2,2,0,1188,0,0,0,24,6,310,1,-1,0,3,yes
3602,29,1,2,1,0,322,0,0,2,14,6,434,1,96,6,1,yes
4876,62,5,1,1,0,1495,0,0,0,2,3,265,1,-1,0,3,yes
2199,40,10,2,2,0,7968,0,0,0,2,6,596,1,-1,0,3,yes
6015,30,9,2,1,0,426,1,0,1,17,9,127,4,111,6,0,no
8854,51,1,1,0,0,1694,0,0,0,13,1,186,2,-1,0,3,no
1431,30,9,2,1,0,2544,0,0,0,8,0,108,2,-1,0,3,yes
8762,34,9,2,1,0,1313,0,0,0,12,1,176,1,21,6,0,no
7866,31,7,2,1,0,900,1,0,0,9,0,221,2,140,6,0,no
623,49,2,0,3,1,-701,1,0,0,30,5,988,2,-1,0,3,yes
821,53,4,1,2,0,15,0,0,0,20,1,921,2,-1,0,3,yes
5890,43,3,1,0,0,25,0,0,0,12,1,121,2,-1,0,3,no
2287,28,4,2,2,0,874,1,0,0,5,6,509,1,-1,0,3,yes
2037,32,4,1,2,0,3387,1,0,0,15,8,1111,5,-1,0,3,yes
5556,33,10,2,1,0,233,1,0,2,8,8,221,4,-1,0,3,no
10683,34,4,1,2,0,580,1,0,0,10,5,380,1,-1,0,3,no
6187,47,7,1,1,0,1764,0,1,0,26,1,119,6,-1,0,3,no
909,34,9,1,1,0,1012,1,1,1,28,10,540,1,-1,0,3,yes
10308,32,1,1,0,0,-6,1,0,0,6,8,169,2,-1,0,3,no
1984,59,5,0,1,0,5845,0,0,0,14,8,1060,2,-1,0,3,yes
5981,33,4,2,2,0,1859,1,0,0,30,4,1169,4,-1,0,3,no
2407,34,1,2,0,0,79,0,0,1,10,5,336,4,-1,0,3,yes
8776,34,0,0,1,0,0,1,0,0,6,8,153,1,-1,0,3,no
6902,30,6,1,1,0,131,1,0,2,8,8,306,1,-1,0,3,no
1942,35,4,2,2,0,1396,1,0,0,13,8,809,1,300,1,0,yes
10762,38,1,1,1,0,292,1,1,2,6,6,84,2,-1,0,3,no
4808,35,10,1,0,0,3285,0,0,0,21,9,1555,2,-1,0,3,yes
3371,57,4,0,2,0,3287,0,0,0,30,7,277,2,337,1,2,yes
9699,54,9,1,1,0,827,0,1,2,20,6,294,2,-1,0,3,no
3677,37,9,1,1,0,432,1,0,0,6,5,386,3,776,55,0,yes
3162,58,10,1,1,0,1625,0,0,0,5,3,286,2,-1,0,3,yes
10274,33,1,1,1,0,395,1,0,2,2,6,122,1,-1,0,3,no
6837,30,7,2,1,0,438,1,0,0,18,8,98,1,178,1,0,no
7536,38,1,2,1,0,1012,1,1,1,17,9,69,1,-1,0,3,no
1639,39,9,2,1,0,15,1,0,0,30,0,510,1,-1,0,3,yes
1108,29,7,2,3,0,196,0,0,0,30,4,726,2,-1,0,3,yes
10076,30,0,1,1,0,-170,1,1,2,26,8,130,1,-1,0,3,no
1658,29,4,2,2,0,697,0,0,0,30,0,365,1,85,1,2,yes
5280,38,9,2,2,0,25,1,0,0,1,6,232,2,-1,0,3,yes
6171,29,9,2,2,0,910,1,0,0,11,8,278,1,-1,0,3,no
10795,49,2,1,2,0,313,1,0,0,17,9,42,2,188,2,0,no
10371,47,4,1,2,0,60,0,0,2,2,6,282,7,-1,0,3,no
7751,36,7,1,1,0,297,1,1,0,15,5,157,5,-1,0,3,no
7400,44,4,1,2,0,70,0,0,0,20,1,165,3,-1,0,3,no
6665,52,6,2,0,0,217,0,1,0,15,5,193,6,-1,0,3,no
1379,34,9,1,1,0,390,1,0,0,27,7,95,2,231,2,0,yes
5361,42,9,1,1,1,-197,1,0,0,6,1,66,7,-1,0,3,no
5024,47,0,1,1,0,3676,0,0,0,15,5,415,2,342,1,1,yes
11042,33,2,1,1,0,137,1,0,0,15,5,136,3,-1,0,3,no
7436,46,1,1,0,0,-271,1,0,0,25,5,65,2,-1,0,3,no
9079,35,7,1,2,0,4564,0,0,0,18,1,45,6,-1,0,3,no
2769,27,4,1,2,0,893,0,0,0,16,10,154,2,-1,0,3,yes
1429,33,4,2,2,0,318,1,0,0,8,0,1190,1,141,3,1,yes
4589,25,1,2,1,0,1857,1,0,0,13,0,295,4,187,6,2,yes
10507,38,9,1,1,0,728,1,0,0,18,9,286,1,181,2,1,no
8016,32,8,2,2,0,922,0,0,0,18,10,338,2,-1,0,3,no
7125,54,9,0,2,0,2133,0,0,0,18,9,176,1,-1,0,3,no
10354,47,1,1,1,0,1388,1,0,0,17,0,119,2,-1,0,3,no
8262,42,1,1,3,0,149,1,0,1,23,5,329,3,-1,0,3,no
8263,46,0,1,1,0,179,1,0,0,29,4,194,4,436,1,1,no
7611,60,0,1,3,0,738,0,0,2,19,8,529,3,-1,0,3,no
3429,55,10,0,1,0,309,0,0,0,20,0,167,1,181,3,2,yes
2947,64,5,1,3,0,679,0,0,1,16,9,167,1,-1,0,3,yes
6423,53,1,1,1,0,21522,0,0,2,24,6,146,4,-1,0,3,no
3738,60,0,1,3,0,478,0,0,0,19,5,173,2,311,8,0,yes
4082,47,0,1,1,0,1210,0,0,0,26,10,604,1,91,4,0,yes
833,57,9,0,2,0,96,0,0,0,21,1,913,4,-1,0,3,yes
7121,57,2,1,3,0,657,0,0,2,12,6,344,1,-1,0,3,no
499,46,3,0,0,0,2084,1,0,0,18,5,1081,2,-1,0,3,yes
9405,35,9,2,0,0,744,1,0,0,7,0,1096,1,-1,0,3,no
10320,41,1,1,0,0,449,1,0,0,20,0,10,6,-1,0,3,no
4561,42,4,2,2,1,0,1,0,0,21,9,824,1,-1,0,3,yes
563,38,2,1,1,0,593,1,1,0,24,5,1484,24,-1,0,3,yes
1419,56,9,1,1,0,2847,0,0,0,8,0,327,1,-1,0,3,yes
5516,44,1,1,0,0,2657,1,0,2,20,6,202,2,-1,0,3,no
10635,26,8,2,3,0,2503,0,0,0,30,0,121,1,63,2,0,no
5180,51,4,1,2,0,469,0,0,0,15,0,200,1,181,2,2,yes
1454,42,1,1,0,0,2103,1,0,0,13,0,384,2,-1,0,3,yes
3066,21,8,2,1,0,2488,0,0,1,12,4,661,2,92,1,2,yes
4542,60,5,1,1,0,1853,0,0,0,10,3,234,1,183,1,2,yes
799,32,9,2,1,0,1732,1,0,0,14,1,1871,3,-1,0,3,yes
9812,36,1,0,1,0,7051,0,1,0,15,5,106,13,-1,0,3,no
1548,50,11,1,0,0,341,1,1,0,20,0,670,4,340,2,2,yes
2980,48,4,1,2,0,1147,0,0,0,3,2,155,1,120,3,2,yes
1238,46,0,0,1,0,2232,0,0,0,13,3,121,1,-1,0,3,yes
4125,54,10,0,1,0,1664,0,0,0,2,6,257,3,-1,0,3,yes
1398,33,4,2,2,0,3161,1,0,0,2,0,313,3,-1,0,3,yes
2024,60,5,0,1,0,-639,1,0,0,15,8,585,1,-1,0,3,yes
10494,57,4,1,1,0,123,0,0,0,2,3,154,2,-1,0,3,no
5430,38,6,1,1,0,30,0,0,2,16,6,91,1,-1,0,3,no
5645,40,9,1,1,0,40,1,0,0,21,9,73,1,-1,0,3,no
9790,56,1,1,1,0,316,1,0,2,19,8,27,1,-1,0,3,no
3976,49,9,1,2,0,1071,0,0,0,16,11,225,1,91,1,2,yes
1558,78,5,1,0,0,240,0,0,0,20,0,325,1,-1,0,3,yes
9317,39,3,1,0,0,2460,0,0,0,11,5,194,3,-1,0,3,no
9118,55,5,1,1,0,102,1,0,2,7,8,74,1,-1,0,3,no
3117,33,9,1,2,0,1699,0,0,0,28,4,202,1,83,3,2,yes
5545,30,9,2,2,0,0,0,0,0,15,11,214,2,-1,0,3,no
4377,62,6,0,1,0,0,1,0,0,20,1,158,1,-1,0,3,yes
3694,32,9,2,3,0,491,0,0,0,9,5,474,7,-1,0,3,yes
9605,41,7,0,1,0,727,1,0,0,11,8,246,1,-1,0,3,no
3191,44,4,1,2,0,1791,0,0,0,11,3,71,1,190,1,2,yes
9607,26,1,1,1,0,895,1,0,0,4,3,820,3,-1,0,3,no
2101,39,4,2,2,0,307,0,0,0,22,8,182,2,-1,0,3,yes
8008,51,2,1,0,0,805,1,0,0,8,1,132,4,-1,0,3,no
1840,43,4,1,2,0,1429,1,0,0,7,8,1030,1,169,3,2,yes
2822,59,5,1,0,0,3648,0,0,1,23,10,257,2,126,3,2,yes
5629,47,7,1,1,0,0,1,0,0,9,5,173,1,-1,0,3,no
4182,54,0,1,1,0,0,0,0,0,27,4,565,1,-1,0,3,yes
1072,42,4,1,2,0,36,0,0,0,21,9,664,3,-1,0,3,yes
4681,27,8,2,2,0,3733,1,0,1,13,3,299,6,-1,0,3,yes
1162,75,5,0,0,0,3881,1,0,0,4,3,136,3,-1,0,3,yes
5173,48,10,0,1,0,201,0,0,0,10,9,594,1,91,1,2,yes
952,37,9,1,1,0,5115,1,0,0,17,9,1210,2,171,4,0,yes
871,36,4,1,2,0,0,0,0,1,27,1,645,9,-1,0,3,yes
9403,31,4,1,2,0,1230,1,0,2,27,8,290,4,-1,0,3,no
4777,31,9,2,2,0,454,0,0,0,30,0,266,1,-1,0,3,yes
5363,36,9,2,1,0,664,0,0,0,22,1,309,3,-1,0,3,no
730,46,4,1,2,0,4,0,0,0,8,1,1206,4,-1,0,3,yes
7766,51,7,1,3,0,5801,1,0,2,29,8,147,2,-1,0,3,no
8270,33,4,2,2,0,3770,0,0,0,28,4,757,2,-1,0,3,no
9908,38,4,1,2,0,1440,0,0,0,11,1,111,2,-1,0,3,no
11128,40,1,1,0,0,2171,1,0,2,9,8,97,1,-1,0,3,no
3372,23,7,2,1,0,488,0,0,0,30,7,236,1,92,2,1,yes
6391,56,1,1,1,0,385,0,0,0,20,1,210,3,-1,0,3,no
6575,34,4,1,1,0,1007,1,0,0,21,5,240,2,-1,0,3,no
4467,31,1,1,1,0,1766,0,1,0,5,6,166,2,-1,0,3,yes
7186,31,1,1,0,0,-848,1,0,2,23,8,559,3,-1,0,3,no
10518,46,4,1,2,1,-337,0,1,0,21,1,120,2,-1,0,3,no
4815,35,9,0,1,0,84,1,1,0,6,8,954,1,-1,0,3,yes
8539,34,1,1,1,0,4622,1,1,2,20,8,217,1,-1,0,3,no
4246,34,0,1,1,0,869,0,0,2,6,8,1677,1,-1,0,3,yes
1739,54,9,1,1,0,0,0,0,1,30,0,766,3,84,3,2,yes
9422,41,0,1,1,0,0,1,0,0,17,9,595,2,-1,0,3,no
9968,33,7,1,1,0,881,1,0,2,21,8,67,5,-1,0,3,no
3068,22,8,2,1,0,254,0,0,0,13,4,143,2,-1,0,3,yes
5197,24,1,2,1,0,833,1,0,0,15,8,956,1,-1,0,3,yes
3620,66,3,1,0,0,1230,0,0,0,16,6,288,6,181,3,2,yes
10317,32,4,2,2,0,597,0,1,0,24,5,869,1,-1,0,3,no
9160,39,2,1,1,0,0,0,0,0,21,9,108,7,-1,0,3,no
5773,27,4,2,1,0,967,1,0,2,21,8,162,1,-1,0,3,no
3196,61,5,1,2,0,5267,0,0,0,11,3,226,3,-1,0,3,yes
5933,40,4,1,2,0,384,0,0,0,20,0,200,3,327,2,0,no
224,35,0,1,1,0,-87,1,0,2,3,6,1363,7,-1,0,3,yes
1464,22,8,2,1,0,107,0,0,0,14,0,125,1,-1,0,3,yes
4170,45,7,2,0,0,1893,1,0,2,3,6,1259,6,-1,0,3,yes
656,38,9,1,1,0,1919,0,0,0,4,1,846,1,-1,0,3,yes
6185,47,0,1,1,0,1265,0,0,0,7,1,137,2,-1,0,3,no
3946,24,8,2,2,0,834,0,0,0,9,11,679,1,-1,0,3,yes
2873,35,6,2,2,0,5462,0,0,0,2,9,188,1,186,1,2,yes
513,35,2,2,2,0,145,1,0,0,18,5,799,2,-1,0,3,yes
3954,28,0,1,1,0,1595,0,0,0,9,11,268,1,254,4,2,yes
2770,73,5,1,3,0,519,0,0,1,16,10,434,1,57,1,0,yes
276,42,0,1,1,0,105,0,0,2,11,6,1159,4,-1,0,3,yes
7237,42,6,1,2,0,1932,1,0,2,16,8,192,32,-1,0,3,no
4877,33,4,2,2,0,1304,1,0,0,18,8,536,2,-1,0,3,yes
2146,25,0,1,2,0,906,0,0,0,26,8,253,1,-1,0,3,yes
1502,49,7,1,1,0,2416,1,0,0,16,0,1366,1,-1,0,3,yes
9319,36,0,2,1,0,1281,0,0,1,24,5,119,2,-1,0,3,no
7516,26,4,2,2,0,-8,0,0,0,13,1,402,2,-1,0,3,no
6792,32,9,2,2,0,2481,0,0,0,18,1,547,11,-1,0,3,no
7367,43,4,1,2,0,175,1,0,0,17,0,129,4,337,1,1,no
7437,45,0,1,1,0,0,0,0,0,19,1,145,10,-1,0,3,no
3549,46,6,1,1,0,706,0,0,0,21,8,588,1,386,3,0,yes
7528,36,4,1,2,0,-861,1,1,0,28,5,53,2,-1,0,3,no
9789,53,3,1,1,0,1182,1,0,0,7,11,82,1,293,1,0,no
2785,54,9,1,1,0,3994,0,1,0,20,10,595,2,187,2,2,yes
1731,85,5,1,0,0,98,0,0,0,30,0,416,1,-1,0,3,yes
10276,30,9,2,1,0,86,0,0,2,20,1,45,1,-1,0,3,no
4324,56,9,1,1,0,23,0,0,0,20,9,857,3,-1,0,3,yes
3759,35,4,1,2,0,4124,1,0,0,23,5,350,2,445,7,1,yes
5429,34,7,1,1,0,40,1,0,0,17,5,302,2,-1,0,3,no
5118,31,9,2,2,0,882,0,0,0,4,11,293,1,93,1,2,yes
7871,26,9,2,1,0,218,1,0,2,27,8,436,1,-1,0,3,no
9400,28,7,2,1,0,123,1,0,0,6,8,115,1,359,3,0,no
4703,24,9,1,1,0,556,1,0,0,8,3,278,1,94,4,2,yes
2227,29,4,2,2,0,3846,0,0,0,3,6,313,2,-1,0,3,yes
10134,39,9,1,1,0,1965,1,0,2,2,6,65,1,-1,0,3,no
10989,36,1,1,3,0,722,1,0,2,20,8,268,2,-1,0,3,no
9941,32,4,2,2,0,316,1,0,0,29,4,215,3,-1,0,3,no
1880,41,1,1,1,0,1236,1,0,0,11,8,911,3,-1,0,3,yes
5475,35,6,1,2,0,1178,1,1,0,15,0,220,2,183,5,0,no
3750,43,4,1,2,0,839,0,0,0,22,5,942,1,-1,0,3,yes
8360,82,5,1,3,0,211,0,0,1,22,0,195,3,-1,0,3,no
68,41,0,1,0,0,-306,1,0,2,15,8,500,1,-1,0,3,yes
4053,34,9,1,1,0,159,1,0,0,18,10,252,1,-1,0,3,yes
1570,32,4,2,2,0,819,1,0,0,20,0,114,2,-1,0,3,yes
1501,31,9,1,1,0,183,0,0,0,16,0,495,1,-1,0,3,yes
3867,30,8,2,1,0,1779,0,0,0,11,1,233,1,433,1,2,yes
10973,49,4,2,2,0,370,0,0,0,19,1,386,3,-1,0,3,no
7024,39,4,1,2,0,0,0,0,0,28,1,93,25,-1,0,3,no
6469,35,1,1,2,0,5271,1,0,0,14,0,119,2,-1,0,3,no
10390,51,0,0,1,0,2195,1,0,2,13,8,59,1,-1,0,3,no
5330,51,4,1,2,0,0,1,1,0,19,1,263,1,84,1,1,no
4155,23,8,2,1,0,922,0,0,0,28,8,538,2,184,9,0,yes
3528,57,5,1,0,0,9367,0,0,0,14,8,700,4,92,7,2,yes
6812,53,4,1,2,0,5261,0,1,0,25,5,1209,3,-1,0,3,no
3787,36,7,1,1,0,11650,1,0,1,29,5,268,1,-1,0,3,yes
645,51,10,0,2,0,0,0,0,0,31,5,574,2,-1,0,3,yes
8563,39,4,1,1,0,517,1,0,0,18,9,387,3,196,2,0,no
6322,28,7,2,1,0,3331,1,0,2,28,8,229,2,-1,0,3,no
881,46,9,0,1,0,-90,0,1,1,17,10,270,1,-1,0,3,yes
5707,28,9,2,1,0,631,0,0,0,29,0,835,7,-1,0,3,no
8867,34,0,1,1,0,-312,1,0,2,9,8,232,1,-1,0,3,no
6634,55,3,1,0,0,4,0,0,0,21,9,85,3,-1,0,3,no
4837,39,10,1,0,0,7005,1,0,0,28,5,429,2,184,3,2,yes
1101,26,1,2,0,0,941,0,0,0,29,4,1165,1,-1,0,3,yes
1968,48,1,1,0,0,214,1,1,0,14,8,307,1,177,2,0,yes
10516,32,7,1,1,0,1398,1,1,0,15,8,233,1,-1,0,3,no
3871,58,4,1,1,0,2155,0,1,0,11,1,248,2,182,7,2,yes
503,33,1,1,1,0,89,1,0,0,18,5,278,2,-1,0,3,yes
4949,46,0,0,1,0,2196,0,0,0,28,5,573,5,-1,0,3,yes
10467,56,9,1,2,0,1062,0,0,2,20,6,37,2,-1,0,3,no
4730,37,4,1,2,0,0,0,0,0,15,4,426,2,196,1,1,yes
10475,28,9,2,1,0,922,1,0,0,7,0,304,1,-1,0,3,no
9765,32,3,1,0,0,51,1,0,0,12,8,324,1,-1,0,3,no
244,27,4,2,2,0,703,1,0,2,5,6,590,3,-1,0,3,yes
2274,40,0,2,1,0,985,1,0,0,4,6,592,3,50,8,0,yes
3295,63,5,1,1,0,2896,0,0,0,4,7,180,2,-1,0,3,yes
9897,32,0,1,1,0,1661,1,0,0,5,3,76,1,209,2,0,no
11060,58,3,1,0,0,435,1,0,1,28,5,122,6,-1,0,3,no
2534,63,9,1,1,0,896,1,0,0,14,1,276,2,-1,0,3,yes
1285,30,4,2,2,0,5561,1,0,0,27,3,195,1,100,1,2,yes
1701,32,4,1,2,0,4733,0,0,0,30,0,532,1,-1,0,3,yes
5507,39,4,2,2,0,633,0,0,0,19,9,105,2,133,3,0,no
1031,52,2,2,2,0,3469,1,0,0,20,9,653,1,-1,0,3,yes
8117,34,9,1,1,0,0,0,0,0,28,1,183,10,-1,0,3,no
6947,34,1,2,1,0,39,0,0,0,13,8,254,2,299,3,0,no
8182,37,4,2,2,0,2875,0,0,0,20,9,110,2,-1,0,3,no
1318,60,5,1,1,0,404,0,0,0,5,7,308,2,196,2,0,yes
4529,56,4,1,2,0,616,0,0,0,30,0,225,1,83,1,2,yes
6843,36,9,2,1,0,0,0,0,0,28,1,8,13,-1,0,3,no
2861,21,8,2,0,0,8278,0,0,0,29,10,445,1,-1,0,3,yes
3913,48,11,2,3,0,1819,0,0,0,2,11,1440,1,458,1,0,yes
7609,38,9,1,1,0,185,0,1,0,29,1,44,16,-1,0,3,no
7679,40,3,0,1,0,108,0,0,2,9,8,93,1,-1,0,3,no
1343,65,3,1,0,0,715,0,0,0,11,7,323,1,-1,0,3,yes
3809,48,3,2,0,0,46,0,0,0,3,1,113,2,180,1,0,yes
4900,35,4,1,2,0,2161,0,0,0,9,11,569,3,-1,0,3,yes
697,32,6,1,2,0,1423,0,0,0,6,1,1249,4,-1,0,3,yes
1511,36,9,1,2,0,4596,1,0,0,16,0,901,2,-1,0,3,yes
5331,46,1,1,1,0,942,0,0,0,18,9,240,3,119,2,0,no
4395,38,0,1,1,0,47,1,0,0,4,8,288,5,-1,0,3,yes
8046,67,5,1,2,0,3810,0,0,0,21,10,1206,1,-1,0,3,no
7002,50,4,1,2,0,101,1,0,2,15,8,348,1,-1,0,3,no
7850,58,6,1,1,0,0,1,0,2,15,8,272,9,-1,0,3,no
2679,42,9,1,1,0,3082,0,0,0,11,11,285,1,-1,0,3,yes
8715,59,0,1,1,0,1575,1,0,0,12,8,301,3,263,11,2,no
10496,33,1,1,1,0,312,1,0,2,4,6,151,2,-1,0,3,no
3868,51,4,1,2,0,346,0,0,0,11,1,237,1,180,6,2,yes
3131,66,5,1,0,0,3629,0,0,0,2,3,474,1,172,2,1,yes
10198,30,4,1,2,0,-250,1,0,2,20,6,11,6,-1,0,3,no
2712,37,0,2,2,0,1000,1,0,0,22,11,239,1,99,2,2,yes
5297,54,9,1,2,1,337,1,0,2,28,8,302,2,-1,0,3,no
7063,40,4,1,2,0,2487,0,0,0,30,0,126,1,-1,0,3,no
1667,42,9,1,3,0,1559,0,0,0,30,0,368,1,-1,0,3,yes
201,36,7,1,1,0,2984,1,0,2,2,6,394,1,-1,0,3,yes
8600,67,0,1,0,0,1093,0,0,1,8,5,64,3,-1,0,3,no
